id,equipment_id,maintenance_type,description,date,technician,status,cost,duration_hours,parts_replaced,next_due_date,priority_level
1,1,Preventive,Monthly calibration and cleaning,2024-01-15,John Smith,completed,2500,4.0,Calibration kit,2024-04-15,medium
2,2,Preventive,Monthly calibration and cleaning,2024-02-10,Mike Johnson,completed,3000,4.5,Calibration kit,2024-05-10,medium
3,3,Preventive,Quarterly lubrication and inspection,2024-01-20,Sarah Wilson,completed,1800,3.0,Lubricant,2024-04-20,low
4,4,Preventive,Quarterly lubrication and inspection,2024-02-05,David Brown,completed,2200,3.5,Lubricant,2024-05-05,low
5,5,Preventive,Monthly nozzle cleaning and bed leveling,2024-01-25,Emily Davis,completed,800,2.0,Nozzle,2024-04-25,low
6,6,Corrective,Extruder jam and bed replacement,2024-02-15,Tom Anderson,completed,600,3.0,Extruder,Bed,2024-03-15,high
7,7,Preventive,Monthly lens cleaning and alignment,2024-01-30,Lisa Garcia,completed,1500,2.5,Lens cleaning kit,2024-04-30,medium
8,8,Preventive,Monthly lens cleaning and alignment,2024-02-20,Robert Martinez,completed,2000,3.0,Lens cleaning kit,2024-05-20,medium
9,9,Preventive,Quarterly torch cleaning and gas line check,2024-01-10,Jennifer Lee,completed,1200,2.0,Torch tip,2024-04-10,low
10,10,Preventive,Quarterly torch cleaning and gas line check,2024-02-25,Michael Chen,completed,1800,2.5,Torch tip,2024-05-25,low
11,11,Preventive,Monthly wire feed system maintenance,2024-01-18,Amanda Taylor,completed,900,2.5,Wire feed rollers,2024-04-18,low
12,12,Preventive,Monthly wire feed system maintenance,2024-02-12,Christopher White,completed,1100,3.0,Wire feed rollers,2024-05-12,low
13,13,Preventive,Quarterly spindle alignment and bearing check,2024-01-22,Daniel Harris,completed,2000,4.0,Bearings,2024-04-22,medium
14,14,Preventive,Quarterly spindle alignment and bearing check,2024-02-08,Ashley Clark,completed,2500,4.5,Bearings,2024-05-08,medium
15,15,Preventive,Monthly table alignment and coolant system check,2024-01-28,James Rodriguez,completed,1800,3.5,Coolant filter,2024-04-28,low
16,16,Preventive,Monthly table alignment and coolant system check,2024-02-18,Maria Gonzalez,completed,2200,4.0,Coolant filter,2024-05-18,low
17,17,Preventive,Monthly chuck inspection and belt tension check,2024-01-12,Kevin Moore,completed,400,1.5,Drive belt,2024-04-12,low
18,18,Preventive,Monthly chuck inspection and belt tension check,2024-02-22,Nicole Jackson,completed,500,2.0,Drive belt,2024-05-22,low
19,19,Preventive,Monthly blade tension and guide adjustment,2024-01-16,Steven Thompson,completed,600,2.0,Saw blade,2024-04-16,low
20,20,Preventive,Monthly blade tension and guide adjustment,2024-02-14,Angela Lewis,completed,700,2.5,Saw blade,2024-05-14,low
21,21,Preventive,Monthly wheel dressing and guard adjustment,2024-01-24,Mark Walker,completed,300,1.0,Grinding wheel,2024-04-24,low
22,22,Preventive,Monthly wheel dressing and guard adjustment,2024-02-06,Laura Hall,completed,300,1.0,Grinding wheel,2024-05-06,low
23,23,Preventive,Quarterly filter replacement and oil change,2024-01-08,Paul Allen,completed,800,2.0,Air filter,Oil,2024-04-08,medium
24,24,Preventive,Quarterly filter replacement and oil change,2024-02-26,Rachel Young,completed,800,2.0,Air filter,Oil,2024-05-26,medium
25,25,Preventive,Monthly filter cleaning and motor inspection,2024-01-14,Timothy King,completed,500,1.5,HEPA filter,2024-04-14,low
26,1,Corrective,Spindle bearing replacement,2024-03-01,John Smith,in_progress,4500,6.0,Spindle bearings,2024-04-15,high
27,6,Preventive,Monthly nozzle cleaning and bed leveling,2024-03-05,Emily Davis,scheduled,600,2.0,Nozzle,2024-04-05,medium
28,15,Corrective,Table drive motor repair,2024-03-08,James Rodriguez,completed,3200,5.0,Drive motor,2024-04-28,high
29,9,Corrective,Torch head replacement,2024-03-12,Jennifer Lee,completed,1800,3.5,Torch head,2024-04-10,high
30,23,Corrective,Compressor motor overhaul,2024-03-15,Paul Allen,completed,5500,8.0,Motor windings,2024-04-08,high
